meter,trend_break_score,seasonal_violation_score,noise_spike_score,predicted_type
MT_362,3.0021193467715377,1.5385830559842009,1.2187740007118992,trend_break
MT_196,7.165951206132274,0.8463550440145342,0.8792823826332563,trend_break
MT_279,9.1843577751201,0.742744158754664,0.4592614979226179,trend_break
MT_208,7.490883503812725,1.1063034048874356,0.38370079279560654,trend_break
MT_370,2.2087958838911885,2.176110923435134,1.8921427319517272,trend_break
MT_228,8.647842019212066,0.9210071559099543,0.23708996856211045,trend_break
MT_220,7.449735852810039,0.8647560798206025,0.4771625140426847,trend_break
MT_194,4.962423591340887,0.9104148507505203,0.19877047352667865,trend_break
MT_364,2.592260239412527,1.2547576877288533,0.5389782453280992,trend_break
MT_241,10.658698835770297,1.2667722078302683,0.8325203550949499,trend_break
